10-21 17:25:03.768   32547-32547   C01317/org.map...armony/AppKit  apppool               W     [js_ability_stage.cpp:152]Not found AbilityStage.js
10-21 17:25:03.768   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [js_ui_ability.cpp:231]called
10-21 17:25:03.768   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] start to execute module buffer with secure memory: /data/storage/el1/bundle/maplibre_harmony/ets/maplibreability/MaplibreAbility.abc
10-21 17:25:03.768   32547-32809   C03F00/org.map...y/ArkCompiler  apppool               W     [ecmascript] set label failed! level: s1, file: /data/storage/ark-profile/rt_maplibre_harmony.ap
10-21 17:25:03.768   32547-32809   C03F00/org.map...y/ArkCompiler  apppool               I     [ecmascript] Save profiler to file:/data/storage/ark-profile/rt_maplibre_harmony.ap
10-21 17:25:03.770   32547-32547   A03D00/org.map...harmony/JSAPP  apppool               I     Callee constructor is OK string
10-21 17:25:03.770   32547-32547   A03D00/org.map...harmony/JSAPP  apppool               I     Ability::constructor callee is object [object Object]
10-21 17:25:03.771   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [js_ui_ability.cpp:283]End
10-21 17:25:03.771   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [ui_ability_thread.cpp:171]Lifecycle:Attach
10-21 17:25:03.772   32547-32547   C01317/org.map...armony/AppKit  apppool               I     [main_thread.cpp:2330]called
10-21 17:25:03.772   32547-32547   C03F00/org.map...y/ArkCompiler  apppool               I     [gc] app is not inBackground
10-21 17:25:03.773   32547-32807   C01332/org.map...ony/UIAbility  apppool               I     [ui_ability_thread.cpp:323]name:MaplibreAbility,targeState:5,isNewWant:0
10-21 17:25:03.773   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [ui_ability_thread.cpp:240]Lifecycle:name MaplibreAbility
10-21 17:25:03.773   32547-32547   C01332/org.map...ony/UIAbility  apppool               E     [ui_ability.cpp:513]appRecovery not recovery restart
10-21 17:25:03.774   32547-32547   C04201/org.map...isplayManager  apppool               I     (845)AddDisplayIdFromAms: abilityToken and display[0] has been added.
10-21 17:25:03.774   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.774   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.774   32547-32547   C01324/org.map...armony/JsNapi  apppool               W     [napi_common_want.cpp:1131]not wantpram
10-21 17:25:03.774   32547-32547   A00000/org.map...rmony/testTag  apppool               I     Ability onCreate
10-21 17:25:03.774   32547-32547   A00000/org.map...rmony/testTag  apppool               I     Cleaning up global state
10-21 17:25:03.774   32547-32547   C01332/org.map...ony/UIAbility  apppool               I     [js_ui_ability.cpp:1408]end, name: onCreate, time: 0
10-21 17:25:03.774   32547-32547   C01332/org.map...ony/UIAbility  apppool               E     [ui_ability_impl.cpp:296]hasSaveData_: false
10-21 17:25:03.774   32547-32547   C01332/org.map...ony/UIAbility  apppool               W     [js_ui_ability.cpp:863]formatRegex: []
10-21 17:25:03.774   32547-32547   C04202/org.map...rmony/WMSMain  apppool               I     [] Init(93): WindowScene with window session!
10-21 17:25:03.774   32547-32547   C04202/org.map...rmony/WMSMain  apppool               I     [] Init(103): set isModuleAbilityHookEnd
10-21 17:25:03.775   32547-32547   C01406/org.map...mony/OHOS::RS  apppool               I     RSLogManager init log flag: 0x0(0)
10-21 17:25:03.775   32547-32547   C01406/org.map...mony/OHOS::RS  apppool               I     RSFrameRateLinker::Create id: 139788300582912
10-21 17:25:03.775   32547-32547   C04202/org.map...rmony/WMSMain  apppool               I     [] VsyncStation(53): id 139788300582913 created
10-21 17:25:03.775   32547-32547   C04200/org.map...neSessionImpl  apppool               I     (133)WindowSceneSessionImpl: [WMSCom] Constructor
10-21 17:25:03.776   32547-32547   C04200/org.map...e.harmony/WMS  apppool               E     [] SetWindowType(1855): set window type permission denied!
10-21 17:25:03.776   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Create(620): Window Create name:harmony0, state:0, windowmode:0
10-21 17:25:03.777   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] SetDefaultDisplayIdIfNeed(478): Called
10-21 17:25:03.777   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Create(637): SetIsAbilityHookOff 0
10-21 17:25:03.777   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               W     [] IsWindowSessionInvalid(361): already destroyed or not created! id: 0 state_: 0
10-21 17:25:03.777   32547-32547   C04200/org.map...neSessionImpl  apppool               W     (3882)[WMSCom]AdjustWindowAnimationFlag failed since session invalid!
10-21 17:25:03.777   32547-32547   C04200/org.map...neSessionImpl  apppool               I     (642)Remove window flag WINDOW_FLAG_SHOW_WHEN_LOCKED
10-21 17:25:03.777   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Connect(497): Called
10-21 17:25:03.778   32547-32807   C0421D/org.map...y/WMSRotation  apppool               I     [] SetCurrentRotation(4824): currentRotation: 0
10-21 17:25:03.779   32547-32807   C04208/org.map...ony/WMSLayout  apppool               I     [] UpdateRect(767): [0 0 1216 2688], preRect:[0 0 0 0], reason:0, hasRSTransaction:0,duration:400, [name:harmony0, id:0]
10-21 17:25:03.779   32547-32547   C04208/org.map...ony/WMSLayout  apppool               I     [] Connect(281): updateRect when connect.preRect:[0,0,1216,2688]rect:[0,0,1216,2688]
10-21 17:25:03.779   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] Connect(515): Window Connect [name:harmony0, id:45, type:1], ret:0
10-21 17:25:03.779   32547-32807   C04208/org.map...ony/WMSLayout  apppool               W     [] NotifySingleHandTransformChange(4505): id:45, uiContent is nullptr
10-21 17:25:03.780   32547-32547   C0420A/org.map...rmony/WMSLife  apppool               I     [] MakeSubOrDialogWindowDragableAndMoveble(278): Called 45.
10-21 17:25:03.780   32547-32547   C04201/org.map...isplayManager  apppool               W     (634)GetDisplayById: update display from cache, Id: 0
10-21 17:25:03.781   32547-32547   C04200/org.map...neSessionImpl  apppool               I     (1014)GetSystemSizeLimits: [System SizeLimits] [maxWidth: 6240, minWidth: 1040, maxHeight: 6240, minHeight: 780]
10-21 17:25:03.781   32547-32547   C04208/org.map...ony/WMSLayout  apppool               I     [] GetConfigurationFromAbilityInfo(961): winId: 45, windowModeSupportType: 15
10-21 17:25:03.781   32547-32547   C0420F/org.map...ny/WMSRecover  apppool               I     [] RegisterSessionRecoverCallbackFunc(328): persistentId = 45
10-21 17:25:03.781   32547-32547   C04209/org.map...rmony/WMSImms  apppool               I     [] UpdateDefaultStatusBarColor(721): winId: 45, type: 1, hasDarkRes: 0, colorMode: light
