10-28 23:16:31.163   43901-43995   C01317/org.map...armony/AppKit  pid-43901             I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-28 23:16:31.163   43901-43901   C01E00/org.map...sourceManager  pid-43901             I     CreateResourceManagerDef LoadThemeRes
10-28 23:16:31.163   43901-43901   C01E00/org.map...sourceManager  pid-43901             W     update userId, currentUserId_= 0, userId= 100
10-28 23:16:31.164   43901-43901   C01336/org.map...e.harmony/AMS  pid-43901             E     [main_thread.cpp:3496]emptye config
10-28 23:16:31.166   43901-43996   C01653/org.map...vePreferences  pid-43901             W     LoadFromDisk: The settingXml /***/el2/***/i18*** load failed.
10-28 23:16:31.166   43901-43901   C01301/org.map...rmony/Ability  pid-43901             W     [resource_config_helper.cpp:157]invalid source:
10-28 23:16:31.166   43901-43901   C01301/org.map...rmony/Ability  pid-43901             W     [resource_config_helper.cpp:157]invalid source:
10-28 23:16:31.166   43901-43901   C01317/org.map...armony/AppKit  pid-43901             I     [application_cleaner.cpp:82]ClearTempData
10-28 23:16:31.169   43901-43994   C02C03/PARAM_WATCHER            pid-43901             I     [watcher_manager_kits.cpp:172]Add watcher keyPrefix persist.hdc.jdwp remoteWatcherId 6169 success
10-28 23:16:31.170   43901-43901   C01317/org.map...armony/AppKit  pid-43901             E     [js_ability_stage.cpp:140]stage is nullptr
10-28 23:16:31.170   43901-43901   C01317/org.map...armony/AppKit  pid-43901             W     [js_ability_stage.cpp:152]Not found AbilityStage.js
10-28 23:16:31.169   43901-43994   C02D13/org.map...rmony/HDC_LOG  pid-43901             I     AddWatchHdcdJdwp rc:0
10-28 23:16:31.171   43901-43994   C02D13/org.map...rmony/HDC_LOG  pid-43901             I     connect success cfd:65
10-28 23:16:31.171   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [js_ui_ability.cpp:231]called
10-28 23:16:31.171   43901-43994   C02D13/org.map...rmony/HDC_LOG  pid-43901             I     Send2Jdwp send pid:43901, pp:org.maplibre.harmony, isDebug:1, msglen:32
10-28 23:16:31.171   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] start to execute module buffer with secure memory: /data/storage/el1/bundle/maplibre_harmony/ets/maplibreability/MaplibreAbility.abc
10-28 23:16:31.171   43901-43986   C03F00/org.map...y/ArkCompiler  pid-43901             W     [ecmascript] set label failed! level: s1, file: /data/storage/ark-profile/rt_maplibre_harmony.ap
10-28 23:16:31.172   43901-43986   C03F00/org.map...y/ArkCompiler  pid-43901             I     [ecmascript] Save profiler to file:/data/storage/ark-profile/rt_maplibre_harmony.ap
10-28 23:16:31.174   43901-43995   C01317/org.map...armony/AppKit  pid-43901             I     [dump_runtime_helper.cpp:332]success to AclSetAccess, path: /data/storage/el2/base/cache/rawheap
10-28 23:16:31.176   43901-43901   A03D00/org.map...harmony/JSAPP  pid-43901             I     Callee constructor is OK string
10-28 23:16:31.177   43901-43901   A03D00/org.map...harmony/JSAPP  pid-43901             I     Ability::constructor callee is object [object Object]
10-28 23:16:31.179   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [js_ui_ability.cpp:283]End
10-28 23:16:31.179   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [ui_ability_thread.cpp:171]Lifecycle:Attach
10-28 23:16:31.181   43901-43901   C01317/org.map...armony/AppKit  pid-43901             I     [main_thread.cpp:2330]called
10-28 23:16:31.181   43901-43901   C03F00/org.map...y/ArkCompiler  pid-43901             I     [gc] app is not inBackground
10-28 23:16:31.184   43901-43984   C01332/org.map...ony/UIAbility  pid-43901             I     [ui_ability_thread.cpp:323]name:MaplibreAbility,targeState:5,isNewWant:0
10-28 23:16:31.185   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [ui_ability_thread.cpp:240]Lifecycle:name MaplibreAbility
10-28 23:16:31.185   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             E     [ui_ability.cpp:513]appRecovery not recovery restart
10-28 23:16:31.186   43901-43901   C04201/org.map...isplayManager  pid-43901             I     (845)AddDisplayIdFromAms: abilityToken and display[0] has been added.
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.186   43901-43901   C01324/org.map...armony/JsNapi  pid-43901             W     [napi_common_want.cpp:1131]not wantpram
10-28 23:16:31.187   43901-43901   A00000/org.map...rmony/testTag  pid-43901             I     Ability onCreate
10-28 23:16:31.187   43901-43901   A00000/org.map...rmony/testTag  pid-43901             I     Cleaning up global state
10-28 23:16:31.187   43901-43901   C01332/org.map...ony/UIAbility  pid-43901             I     [js_ui_ability.cpp:1408]end, name: onCreate, time: 0
