10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     init:1876990464
10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     init:1876990464, backend_fd:4
10-20 11:13:09.022   24748-24748   C03301/LIBUV                    pid-24748             I     open:1876990464, pipefd[0]:24
10-20 11:13:09.023   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] can not find aot file
10-20 11:13:09.023   24748-24748   C01321/JsRuntime                pid-24748             I     [js_runtime_lite.cpp:456]moduleName: maplibre_harmony parse json success
10-20 11:13:09.025   24748-24927   C01719/ffrt                     pid-24748             W     2:operator():111 [1695009160] set priority warn ret[1] eno[0]
10-20 11:13:09.025   24748-24748   C01321/JsRuntime                pid-24748             E     [hdc_register.cpp:58]null registerLocalHandler_
10-20 11:13:09.026   24748-24748   C03f00/ArkCompiler              pid-24748             I     StartServer, componentName = <private>
10-20 11:13:09.026   24748-24748   C01321/JsRuntime                pid-24748             W     [connect_server_manager.cpp:163]not Connected
10-20 11:13:09.026   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] JSNApi::NotifyDebugMode, tid = 24748, debugApp = 1, isDebugMode = 0, instanceId = 0
10-20 11:13:09.026   24748-24928   C02c03/PARAM_WATCHER            pid-24748             I     [watcher_manager_kits.cpp:171]Add watcher keyPrefix persist.hdc.jdwp remoteWatcherId 39 success
10-20 11:13:09.026   24748-24926   C01719/ffrt                     pid-24748             W     3:FFRTQosApplyForOther:249 tid 24926, Interrupted system call, ret:-1, eno:4
10-20 11:13:09.036   24748-24748   C03f00/ArkCompiler              pid-24748             I     [compiler] __jit_debug_register_code() is called.
10-20 11:13:09.036   24748-24748   C03f00/ArkCompiler              pid-24748             I     [compiler] success to register stub.an to debugger.
10-20 11:13:09.065   24748-24748   C01e00/ResourceManager          pid-24748             W     update userId, currentUserId_= 0, userId= 100
10-20 11:13:09.065   24748-24748   C01e00/ResourceManager          pid-24748             E     LoadThemesRes failed, userId = 100, bundleName = org.maplibre.harmony
10-20 11:13:09.065   24748-24748   C01336/AMS                      pid-24748             E     [main_thread.cpp:3799]empty config
10-20 11:13:09.065   24748-24748   C01317/AppKit                   pid-24748             W     [main_thread.cpp:3869]reason Error loading shared library /system/lib64/liblayered_parameters_manager.z.so: No such file or directoryn
10-20 11:13:09.067   24748-24938   C01653/NativePreferences        pid-24748             W     LoadFromDisk: The settingXml /***/el1/***/i18*** load failed.
10-20 11:13:09.067   24748-24748   C01301/Ability                  pid-24748             W     [resource_config_helper.cpp:173]invalid source:
10-20 11:13:09.067   24748-24748   C01301/Ability                  pid-24748             W     [resource_config_helper.cpp:173]invalid source:
10-20 11:13:09.067   24748-24748   C01317/AppKit                   pid-24748             I     [application_cleaner.cpp:94]ClearTempData
10-20 11:13:09.068   24748-24937   C01719/ffrt                     pid-24748             W     4:FFRTQosApplyForOther:249 tid 24937, Interrupted system call, ret:-1, eno:4
10-20 11:13:09.068   24748-24937   C01317/AppKit                   pid-24748             I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-20 11:13:09.069   24748-24937   C01317/AppKit                   pid-24748             I     [dump_runtime_helper.cpp:332]success to AclSetAccess, path: /data/storage/el2/base/cache/rawheap
10-20 11:13:09.070   24748-24939   C01719/ffrt                     pid-24748             W     5:FFRTQosApplyForOther:249 tid 24939, Interrupted system call, ret:-1, eno:4
10-20 11:13:09.070   24748-24748   C01317/AppKit                   pid-24748             E     [js_ability_stage.cpp:206]null stage
10-20 11:13:09.070   24748-24748   C01317/AppKit                   pid-24748             W     [js_ability_stage.cpp:218]Not found AbilityStage.js
10-20 11:13:09.097   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:263]called
10-20 11:13:09.097   24748-24748   C03f00/ArkCompiler              pid-24748             I     [ecmascript] start to execute module buffer with secure memory: /data/storage/el1/bundle/maplibre_harmony/ets/maplibreability/MaplibreAbility.abc
10-20 11:13:09.097   24748-24748   C03f00/ArkCompiler              pid-24748             E     [TID 0060ac] E/pandafile: Can not open xpm proc file, do not check secure memory anymore.
10-20 11:13:09.097   24748-24748   C03f00/ArkCompiler              pid-24748             E     [ecmascript] Can not open xpm proc file, do not check secure memory anymore.
10-20 11:13:09.097   24748-24925   C03f00/ArkCompiler              pid-24748             W     [ecmascript] set label failed! level: s1, file: /data/storage/ark-profile/rt_maplibre_harmony.ap
10-20 11:13:09.097   24748-24925   C03f00/ArkCompiler              pid-24748             I     [pgo] will save profiler to file /data/storage/ark-profile/rt_maplibre_harmony.ap
10-20 11:13:09.098   24748-24748   C01320/JsEnv                    pid-24748             I     [js_environment.cpp:271]timing: 0
10-20 11:13:09.098   24748-24748   C01320/JSENV                    pid-24748             I     Callee constructor is OK string
10-20 11:13:09.098   24748-24748   C01320/JSENV                    pid-24748             I     Ability::constructor callee is object [object Object]
10-20 11:13:09.102   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:316]End
10-20 11:13:09.102   24748-24748   C01332/UIAbility                pid-24748             I     [ui_ability_thread.cpp:168]Lifecycle:Attach
10-20 11:13:09.120   24748-24748   C01317/AppKit                   pid-24748             I     [main_thread.cpp:2529]called
10-20 11:13:09.120   24748-24748   C03f00/ArkCompiler              pid-24748             I     [gc] app is not inBackground
10-20 11:13:09.121   24748-24748   C01707/CONCUR                   pid-24748             E     [Interface] task 24923 apply qos failed, errno = 4
10-20 11:13:09.122   24748-24748   C01707/CONCUR                   pid-24748             E     [Interface] task 24925 apply qos failed, errno = 4
10-20 11:13:09.124   24748-24748   C01707/CONCUR                   pid-24748             E     [Interface] task 24924 apply qos failed, errno = 4
10-20 11:13:09.124   24748-24921   C01332/UIAbility                pid-24748             I     [ui_ability_thread.cpp:315]name:MaplibreAbility,targeState:5,isNewWant:0
10-20 11:13:09.125   24748-24748   C01332/UIAbility                pid-24748             I     [ui_ability_thread.cpp:234]Lifecycle:name MaplibreAbility
10-20 11:13:09.125   24748-24748   C01332/UIAbility                pid-24748             E     [ui_ability.cpp:599]appRecovery not recovery restart
10-20 11:13:09.125   24748-24748   C04201/DisplayManager           pid-24748             I     (907)AddDisplayIdFromAms: abilityToken and display[0] has been added.
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01324/JsNapi                   pid-24748             W     [napi_common_want.cpp:1132]not wantpram
10-20 11:13:09.127   24748-24748   C01332/UIAbility                pid-24748             I     [js_ui_ability.cpp:1585]JsUIAbility call js, name: onCreate
