10-26 10:19:16.122   34465-34598   C02D13/org.map...rmony/HDC_LOG  pid-34465             I     AddWatchHdcdJdwp rc:0
10-26 10:19:16.122   34465-34598   C02D13/org.map...rmony/HDC_LOG  pid-34465             I     connect success cfd:60
10-26 10:19:16.123   34465-34598   C02D13/org.map...rmony/HDC_LOG  pid-34465             I     Send2Jdwp send pid:34465, pp:org.maplibre.harmony, isDebug:1, msglen:32
10-26 10:19:16.124   34465-34465   C01317/org.map...armony/AppKit  pid-34465             E     [js_ability_stage.cpp:140]stage is nullptr
10-26 10:19:16.124   34465-34465   C01317/org.map...armony/AppKit  pid-34465             W     [js_ability_stage.cpp:152]Not found AbilityStage.js
10-26 10:19:16.125   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [js_ui_ability.cpp:231]called
10-26 10:19:16.125   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] start to execute module buffer with secure memory: /data/storage/el1/bundle/maplibre_harmony/ets/maplibreability/MaplibreAbility.abc
10-26 10:19:16.126   34465-34589   C03F00/org.map...y/ArkCompiler  pid-34465             W     [ecmascript] set label failed! level: s1, file: /data/storage/ark-profile/rt_maplibre_harmony.ap
10-26 10:19:16.126   34465-34589   C03F00/org.map...y/ArkCompiler  pid-34465             I     [ecmascript] Save profiler to file:/data/storage/ark-profile/rt_maplibre_harmony.ap
10-26 10:19:16.127   34465-34465   A03D00/org.map...harmony/JSAPP  pid-34465             I     Callee constructor is OK string
10-26 10:19:16.128   34465-34465   A03D00/org.map...harmony/JSAPP  pid-34465             I     Ability::constructor callee is object [object Object]
10-26 10:19:16.129   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [js_ui_ability.cpp:283]End
10-26 10:19:16.129   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [ui_ability_thread.cpp:171]Lifecycle:Attach
10-26 10:19:16.131   34465-34465   C01317/org.map...armony/AppKit  pid-34465             I     [main_thread.cpp:2330]called
10-26 10:19:16.131   34465-34465   C03F00/org.map...y/ArkCompiler  pid-34465             I     [gc] app is not inBackground
10-26 10:19:16.133   34465-34584   C01332/org.map...ony/UIAbility  pid-34465             I     [ui_ability_thread.cpp:323]name:MaplibreAbility,targeState:5,isNewWant:0
10-26 10:19:16.133   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             I     [ui_ability_thread.cpp:240]Lifecycle:name MaplibreAbility
10-26 10:19:16.133   34465-34465   C01332/org.map...ony/UIAbility  pid-34465             E     [ui_ability.cpp:513]appRecovery not recovery restart
10-26 10:19:16.133   34465-34465   C04201/org.map...isplayManager  pid-34465             I     (845)AddDisplayIdFromAms: abilityToken and display[0] has been added.
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
10-26 10:19:16.134   34465-34465   C01324/org.map...armony/JsNapi  pid-34465             W     [napi_common_want.cpp:1131]not wantpram
