10-20 14:39:10.954 11059 11059 I A00500/Settings: SettingFramework --> SettingGroup --> setting group Setting.Application.ApplicationTab.ApplicationUnSystemGroup disappear.
10-20 14:39:10.954 11059 11059 I A00500/Settings: BundleListController onDestroy
10-20 14:39:10.955 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationUnSystemGroup.org.maplibre.harmony,0 disappear.
10-20 14:39:10.956 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationUnSystemGroup.com.hzwaterit.app,0 disappear.
10-20 14:39:10.957 11059 11059 I A00500/Settings: SettingFramework --> SettingGroup --> setting group Setting.Application.ApplicationTab.ApplicationSystemGroup disappear.
10-20 14:39:10.957 11059 11059 I A00500/Settings: BundleListController onDestroy
10-20 14:39:10.957 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationSystemGroup.com.huawei.hmos.files,0 disappear.
10-20 14:39:10.958 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationSystemGroup.com.huawei.hmos.photos,0 disappear.
10-20 14:39:10.958 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationSystemGroup.com.huawei.hmos.settings,0 disappear.
10-20 14:39:10.960 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationSystemGroup.com.huawei.hmos.browser,0 disappear.
10-20 14:39:10.960 11059 11059 I A00500/Settings: SettingFramework --> SettingItemStandard --> setting item Setting.Application.ApplicationTab.ApplicationSystemGroup.com.ohos.contacts,0 disappear.
10-20 14:39:11.055 11059 11759 I A00500/Settings: StorageUtil usedProportion : 73
10-20 14:39:11.055 11059 11759 I A00500/Settings: StorageSizeUtil :  val is: 4282040320
10-20 14:39:11.055 11059 11759 I A00500/Settings: LanguageUtils :  isLtrDirection
10-20 14:39:11.056 11059 11759 I A00500/Settings: StorageSizeUtil :  result is 4.28 
10-20 14:39:11.056 11059 11759 I A00500/Settings: StorageSizeUtil :  go to here
10-20 14:39:11.056 11059 11759 I A00500/Settings: StorageSizeUtil :  final result: 4.28 GB units: GB
10-20 14:39:11.056 11059 11759 I A00500/Settings: StorageSuggestionUtil getStorageSuggestionInfo usedProportion: 73%, freeSize: 4.28 GB
10-20 14:39:11.056 11059 11759 I A00500/Settings: SuggestionStorageController getSuggestionList finish, cost 168
10-20 14:39:11.056 11059 11059 I A00500/Settings: SuggestionCardManager getSuggestionList finish 0
10-20 14:39:11.056 11059 11059 I A00500/Settings: SuggestionUtil getSupportedCardMap
10-20 14:39:11.056 11059 11059 I A00500/Settings: SuggestionUtil loadSuggestionConfig
10-20 14:39:11.501 11059 11059 I A00500/Settings: SettingFramework --> SettingPage --> setting page Setting.Application disappear
10-20 14:39:12.654  1227  1227 I A01b01/HOME: SCBScenePanel --> get PCKEY callback , type=0
10-20 14:39:12.655  1227  1227 I A01b0a/GESTURE: GestureNavigationObserver --> sendGestureNavigationEvent state=0, type=FLOATING.
10-20 14:39:12.655  1227  1227 I A01b0a/GESTURE: GestureNavigationObserver --> sendGestureNavigationEvent state=2, type=FLOATING.
10-20 14:39:12.655  1227  1227 I A01b01/HOME: SCBScenePanel --> onHomeKeyInput to FULLSCENE
10-20 14:39:12.656  1227  1227 I A01b0a/GESTURE: SCBGestureManager --> gestureEventCallback...eventId = 28
10-20 14:39:12.656  1227  1227 I A01b0a/GESTURE: SCBGestureManager --> gestureEventCallback...params: isScreenLock = false
10-20 14:39:12.656  1227  1227 I A01b01/HOME: GlobalSearchViewModel --> GlobalSearch Process HOME_GESTURE_EVENT
10-20 14:39:12.656  1227  1227 I A01b01/HOME: GlobalSearchViewModel --> onkeyguardViewHide scenePanelState:1,isLocked:false
10-20 14:39:12.656  1227  1227 I A0001b/AA: OutSideWindowManager --> globalSearchStatus: 0
10-20 14:39:12.656  1227  1227 I A01b01/HOME: GlobalSearchViewModel --> GlobalSearch is hide,Process HOME_GESTURE_EVENT fail
10-20 14:39:12.656  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> get session by persistentId: 44
10-20 14:39:12.656  1227  1227 W A04200/WINDOW: SCBSceneSessionManager --> Failed to get system Session with session id: 44
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update prop, locked:false
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update prop, topContainerSession: [44, com.huawei.hmos.settings], inClearSceneStatus: false
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]app prop is applied: true, isLayoutFullScreen: false
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]get app prop:[5,true,"#00FFFFFF","#FF000000",false,false] isSetEnable:false uiType:phone isSetColor:true isLand:false
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]isPcOrPcMode: false statusBarStyle:true isSetStatusBarEnable: false
10-20 14:39:12.658  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update prop to callbacks, same as last. window:44, prop:[5,true,"#00FFFFFF","#FF000000",false,false]
10-20 14:39:12.659  1227  1227 I A01b09/RECENT: QuickSwitchRaiseTopAlarm --> do onAlarm immediately undefined, container session name: com.huawei.hmos.settings.MainAbility/com.huawei.hmos.settings/phone_settings/0(persistentId: 44)(containerId: 13).
10-20 14:39:12.659  1227  1227 I A01b09/RECENT: QuickSwitchRaiseTopAlarm --> do onAlarm container session name : com.huawei.hmos.settings.MainAbility/com.huawei.hmos.settings/phone_settings/0(persistentId: 44)(containerId: 13)
10-20 14:39:12.659  1227  1227 I A01b09/RECENT: QuickSwitchRaiseTopAlarm --> this container session is top already, do not need raise to top.
10-20 14:39:12.659  1227  1227 I A01b01/HOME: SCBScenePanelViewModel --> [SCBMain]minimizeAllScene: gesture into home start, scenePanelState 1 isFromRecent false
10-20 14:39:12.659  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]enterRecentTask:false
10-20 14:39:12.659  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update force prop:[0,false,"#00FFFFFF","#FFFFFFFF",true,true], callfrom:RecentTask out
10-20 14:39:12.660  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update prop, locked:false
10-20 14:39:12.660  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]update prop, topContainerSession: [44, com.huawei.hmos.settings], inClearSceneStatus: false
10-20 14:39:12.660  1227  1227 I A04200/WINDOW: SCBSceneSessionManager --> [SCBImms]app prop is applied: true, isLayoutFullScreen: false
