10-21 17:51:31.628   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] JSNApi::NotifyDebugMode, tid = 52749, debugApp = 1, isDebugMode = 0, instanceId = 0
10-21 17:51:31.630   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [compiler] __jit_debug_register_code() is called.
10-21 17:51:31.630   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [compiler] success to register stub.an to debugger.
10-21 17:51:31.633   52749-52749   C01E00/org.map...sourceManager  org.maplibre.harmony  I     CreateResourceManagerDef LoadThemeRes
10-21 17:51:31.633   52749-52749   C01E00/org.map...sourceManager  org.maplibre.harmony  W     update userId, currentUserId_= 0, userId= 100
10-21 17:51:31.634   52749-52749   C01336/org.map...e.harmony/AMS  org.maplibre.harmony  E     [main_thread.cpp:3496]emptye config
10-21 17:51:31.643   52749-53014   C01719/org.map....harmony/ffrt  org.maplibre.harmony  W     6:FFRTQosApplyForOther:244 tid 53014, Operation not permitted, ret:-1, eno:1
10-21 17:51:31.644   52749-53020   C01719/org.map....harmony/ffrt  org.maplibre.harmony  W     7:FFRTQosApplyForOther:244 tid 53020, Operation not permitted, ret:-1, eno:1
10-21 17:51:31.644   52749-53020   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [dump_runtime_helper.cpp:352]File existed. dir: /data/storage/el2/base/cache/rawheap
10-21 17:51:31.654   52749-53015   C01719/org.map....harmony/ffrt  org.maplibre.harmony  W     8:operator():115 [-1911912056] set priority warn ret[1] eno[0]
10-21 17:51:31.656   52749-53020   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [dump_runtime_helper.cpp:332]success to AclSetAccess, path: /data/storage/el2/base/cache/rawheap
10-21 17:51:31.667   52749-53021   C01653/org.map...vePreferences  org.maplibre.harmony  W     LoadFromDisk: The settingXml /***/el2/***/i18*** load failed.
10-21 17:51:31.667   52749-52749   C01301/org.map...rmony/Ability  org.maplibre.harmony  W     [resource_config_helper.cpp:157]invalid source:
10-21 17:51:31.667   52749-52749   C01301/org.map...rmony/Ability  org.maplibre.harmony  W     [resource_config_helper.cpp:157]invalid source:
10-21 17:51:31.667   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [application_cleaner.cpp:82]ClearTempData
10-21 17:51:31.668   52749-53009   C01719/org.map....harmony/ffrt  org.maplibre.harmony  W     5:RunForever:41 [-1915082360] set priority warn ret[1] eno[0]
10-21 17:51:31.671   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  E     [js_ability_stage.cpp:140]stage is nullptr
10-21 17:51:31.671   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  W     [js_ability_stage.cpp:152]Not found AbilityStage.js
10-21 17:51:31.671   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [js_ui_ability.cpp:231]called
10-21 17:51:31.672   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] start to execute module buffer with secure memory: /data/storage/el1/bundle/maplibre_harmony/ets/maplibreability/MaplibreAbility.abc
10-21 17:51:31.688   52749-52991   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  W     [ecmascript] set label failed! level: s1, file: /data/storage/ark-profile/rt_maplibre_harmony.ap
10-21 17:51:31.688   52749-52991   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [ecmascript] Save profiler to file:/data/storage/ark-profile/rt_maplibre_harmony.ap
10-21 17:51:31.689   52749-53045   C01719/org.map....harmony/ffrt  org.maplibre.harmony  W     9:FFRTQosApplyForOther:244 tid 53045, Operation not permitted, ret:-1, eno:1
10-21 17:51:31.694   52749-52749   A03D00/org.map...harmony/JSAPP  org.maplibre.harmony  I     Callee constructor is OK string
10-21 17:51:31.694   52749-52749   A03D00/org.map...harmony/JSAPP  org.maplibre.harmony  I     Ability::constructor callee is object [object Object]
10-21 17:51:31.695   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [js_ui_ability.cpp:283]End
10-21 17:51:31.695   52749-52749   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [ui_ability_thread.cpp:171]Lifecycle:Attach
10-21 17:51:31.697   52749-52749   C01317/org.map...armony/AppKit  org.maplibre.harmony  I     [main_thread.cpp:2330]called
10-21 17:51:31.697   52749-52749   C03F00/org.map...y/ArkCompiler  org.maplibre.harmony  I     [gc] app is not inBackground
10-21 17:51:31.697   52749-52749   C01707/org.map...armony/CONCUR  org.maplibre.harmony  E     [Interface] task 52990 apply qos failed, errno = 1
10-21 17:51:31.697   52749-52749   C01707/org.map...armony/CONCUR  org.maplibre.harmony  E     [Interface] task 52991 apply qos failed, errno = 1
10-21 17:51:31.697   52749-52749   C01707/org.map...armony/CONCUR  org.maplibre.harmony  E     [Interface] task 52992 apply qos failed, errno = 1
10-21 17:51:31.697   52749-52749   C01707/org.map...armony/CONCUR  org.maplibre.harmony  E     [Interface] task 52993 apply qos failed, errno = 1
10-21 17:51:31.698   52749-52988   C01332/org.map...ony/UIAbility  org.maplibre.harmony  I     [ui_ability_thread.cpp:323]name:MaplibreAbility,targeState:5,isNewWant:0
